input,instruction,output
"We two stayed fasting for two days and a night. And we didn't drink water. Then in the morning we were going to leave, and we wore our hair bound with fir boughs. It was just becoming day. And we covered our leaching-hole. And we stuck in the fir boughs from our hair-binding. Then we took up our burden baskets, we went back uphill with everything. We went back to the sacred sweathouse. We all came back up, (including) the priest and the assistant priest. Everyone looked at us. They gathered there. Everyone jumped around. They felt good.",translate from english to karuk,"axaksúpaa asuuxáras nu'íin káru ithéekxaram.káru pu'íshaha kín'iishtihara.xás máh'iit chí nupiyâarameesh, xás táhpuus nupáthraamutih.yáan vúra usúpaahitih.xás tá nupiyxôorar patakiríram.xás pananupáthraam patáhpuus tá nuvêehkurih.yáas tá nupáatiship, tá kóo máruk tá nupiyâaram.ikmahachram'íshiip kúuk tá nu'íipma.kári koovúra tá nupávyiihraa peekxariya'áraar káru imúsaan.koovúra'îin kinímuustih.káan tá kunivyíhrishrih.koovúra tá kun'ikákpiithva.yâamach tá kunipmahóonkoon."
"itroopasúpaa iinâak nu'áraarahiti ikmaháchraam.ikxúrar nupâatvuti ukrámkaam.xás panunu'ífunih vúra xávish mûuk nupákootih, kíri vâaramas u'if, panunu'ífunih.tá nukíshap paxávish, máruk ahváraak tá nupíshunva.",translate from karuk to english,"We all lived in the sweathouse for five days. In the evening we bathed in (the pond called) ukrámkaam. And we whipped our hair with syringa, (thinking), ""Let our hair grow long!"" (Then) we tied up the syringa, we hid it in a hollow tree uphill."
"We all lived in the sweathouse for five days. In the evening we bathed in (the pond called) ukrámkaam. And we whipped our hair with syringa, (thinking), ""Let our hair grow long!"" (Then) we tied up the syringa, we hid it in a hollow tree uphill.",translate from english to karuk,"itroopasúpaa iinâak nu'áraarahiti ikmaháchraam.ikxúrar nupâatvuti ukrámkaam.xás panunu'ífunih vúra xávish mûuk nupákootih, kíri vâaramas u'if, panunu'ífunih.tá nukíshap paxávish, máruk ahváraak tá nupíshunva."
"sáruk uum kun'íintih, tá írahiv.upeechkanvichvárahitih.tá kunvuhvúha.káru káh'ir tuvárak.xás yáas tá kuntharámpuk.víri áama tá kunikúykirihva.",translate from karuk to english,"Downhill they were celebrating the world renewal, it was world-renewal time by then. There was gambling. They did the deerskin dance. And they did the war dance. And they cooked acorn soup. They barbecued salmon."
"Downhill they were celebrating the world renewal, it was world-renewal time by then. There was gambling. They did the deerskin dance. And they did the war dance. And they cooked acorn soup. They barbecued salmon.",translate from english to karuk,"sáruk uum kun'íintih, tá írahiv.upeechkanvichvárahitih.tá kunvuhvúha.káru káh'ir tuvárak.xás yáas tá kuntharámpuk.víri áama tá kunikúykirihva."
tá kunkíxa patúuyship.xás sáruk tá kunpavyíhunih.áraar patúuyship.ikxaréeyav.,translate from karuk to english,"(Previously) they burned brush on the mountain (i.e., Mount Offield). Then they came back downhill. The mountain is a person. It's an ikxaréeyav (a divine person, a god)."
"(Previously) they burned brush on the mountain (i.e., Mount Offield). Then they came back downhill. The mountain is a person. It's an ikxaréeyav (a divine person, a god).",translate from english to karuk,tá kunkíxa patúuyship.xás sáruk tá kunpavyíhunih.áraar patúuyship.ikxaréeyav.
káruk u'írahiv.úthvuuyti kah'ínaam.surukúnvuunup vaa káan aah kunikyâatih kuníshriimtih.pishiichtâapas kuníshriimtih.imáankam xumvaroovyúrukam kúna kunishríveesh.imáankam tasáxaak kúmaam kuníshriimtih.yuhsahním'anamahach yítha tá kunikvêesh.,translate from karuk to english,"There was a world renewal upriver. (The place) is called kah'ínaam (Clear Creek). They made a fire there at surukúnvuunup (Sing-Ho Bar), they shot at targets. They shot at targets first of all. The next day they shot at targets on a height downriver from xumvároov. The next day they shot at targets behind tasáxaak. They spent one night at yuhsahním'anamahach."
"There was a world renewal upriver. (The place) is called kah'ínaam (Clear Creek). They made a fire there at surukúnvuunup (Sing-Ho Bar), they shot at targets. They shot at targets first of all. The next day they shot at targets on a height downriver from xumvároov. The next day they shot at targets behind tasáxaak. They spent one night at yuhsahním'anamahach.",translate from english to karuk,káruk u'írahiv.úthvuuyti kah'ínaam.surukúnvuunup vaa káan aah kunikyâatih kuníshriimtih.pishiichtâapas kuníshriimtih.imáankam xumvaroovyúrukam kúna kunishríveesh.imáankam tasáxaak kúmaam kuníshriimtih.yuhsahním'anamahach yítha tá kunikvêesh.
"xás máh'iit peekxariya'áraar káan tóo krîish.xás chími uvâarameesh, tá kun'âanvath.xás kári koovúra tá kunpáatvunaa, xás páahak tá kunvíitkar ithyáruk pafatavéenaan.xás vaa yíiv yúruk xumvaroomáruk áhkaam tóo kyav.káruk yíiv ikhurôok tu'árihroov.yuhsahrímkaam tá kunmah, vaa káan tá kunímnish xuun, púufich, áama.",translate from karuk to english,"And in the morning the priest sat down there. And he was about to leave, they painted his face. And everybody bathed, and they rowed the priest across-river in a boat. And he made a big fire far downriver, uphill from xumvároov. He walked far upriver on an upriver-pointing ridge. They saw (i.e., met) him at yuhsarímkaam; there they cooked acorn soup, venison, salmon."
"And in the morning the priest sat down there. And he was about to leave, they painted his face. And everybody bathed, and they rowed the priest across-river in a boat. And he made a big fire far downriver, uphill from xumvároov. He walked far upriver on an upriver-pointing ridge. They saw (i.e., met) him at yuhsarímkaam; there they cooked acorn soup, venison, salmon.",translate from english to karuk,"xás máh'iit peekxariya'áraar káan tóo krîish.xás chími uvâarameesh, tá kun'âanvath.xás kári koovúra tá kunpáatvunaa, xás páahak tá kunvíitkar ithyáruk pafatavéenaan.xás vaa yíiv yúruk xumvaroomáruk áhkaam tóo kyav.káruk yíiv ikhurôok tu'árihroov.yuhsahrímkaam tá kunmah, vaa káan tá kunímnish xuun, púufich, áama."
"pafatavéenaan poo'ípakahaak ikxúrar tóo pvíishrih, xás vúra pa'áraar tá kun'íranva.koovúra pa'áraar kunivyíhuktih, kunimúsanva.víri pápaa tá kunipvítish.xás ikxúrar tá kunthívtaapvunaa.kári xás ikxúrar tá kun'av.",translate from karuk to english,"When the priest returned, evening was falling, and the people were coming to celebrate the world renewal. All the people came, they came to watch. They beached their boats. And in the evening they did the war dance. And in the evening they ate."
"When the priest returned, evening was falling, and the people were coming to celebrate the world renewal. All the people came, they came to watch. They beached their boats. And in the evening they did the war dance. And in the evening they ate.",translate from english to karuk,"pafatavéenaan poo'ípakahaak ikxúrar tóo pvíishrih, xás vúra pa'áraar tá kun'íranva.koovúra pa'áraar kunivyíhuktih, kunimúsanva.víri pápaa tá kunipvítish.xás ikxúrar tá kunthívtaapvunaa.kári xás ikxúrar tá kun'av."
"máh'iit kúkuum tá kunitxâarihvaxás taakrípaak kúuk tu'uum.vaa pasiríshkir pumáahtih, kuníchunvaheen.kári xás kúkuum fatavéenaan tuvâaram, asaxêevar kúuk tu'uum.xás vaa ifuthanpimúsaan tuvâaram.aah tóo kyav.xás paafishríhansas kunkúniihvunaa, taay kuníxraamtih.ishrívaansas tá kunxúrihinaa, yáas kun'áamtih.",translate from karuk to english,"In the morning they woke up again. And they went to taakrípaak. They didn't look at the river-bar, they hid. And the priest went off again, he went to Baldy Peak. And the assistant priest went. He made a fire. And the young men shot arrows, they bet a lot. The target-shooters got hungry, then they ate."
"In the morning they woke up again. And they went to taakrípaak. They didn't look at the river-bar, they hid. And the priest went off again, he went to Baldy Peak. And the assistant priest went. He made a fire. And the young men shot arrows, they bet a lot. The target-shooters got hungry, then they ate.",translate from english to karuk,"máh'iit kúkuum tá kunitxâarihvaxás taakrípaak kúuk tu'uum.vaa pasiríshkir pumáahtih, kuníchunvaheen.kári xás kúkuum fatavéenaan tuvâaram, asaxêevar kúuk tu'uum.xás vaa ifuthanpimúsaan tuvâaram.aah tóo kyav.xás paafishríhansas kunkúniihvunaa, taay kuníxraamtih.ishrívaansas tá kunxúrihinaa, yáas kun'áamtih."
pafatavéenaan yáas u'ípak ikxúrar.áxak pa'asiktávaansas tá kunikyávaanha.xás ikxúrar tá kunthívtaapvunaa.vaa tá kunkôoha.xás taakrípaak kúuk tá kunívyiihma.káan tá kunvuhvúhiichvunaa.mâaka tá kunpakúriihvunaa.kári xás xás tá kun'av.koovúra kári kunikyámiichvunaa.imáankam tóo pvâaram pafatavéenaan.papikyávish tá púfaat.,translate from karuk to english,"Then in the evening the priest returned. Two women acted as priestesses. And in the evening people did the war dance. They finished that. Then they went to taakrípaak. There they did the imitation deerskin dance. Further uphill, they sang. Then they ate. Everybody played games. The next day, the priest went home. The pikiawish was over."
"Then in the evening the priest returned. Two women acted as priestesses. And in the evening people did the war dance. They finished that. Then they went to taakrípaak. There they did the imitation deerskin dance. Further uphill, they sang. Then they ate. Everybody played games. The next day, the priest went home. The pikiawish was over.",translate from english to karuk,pafatavéenaan yáas u'ípak ikxúrar.áxak pa'asiktávaansas tá kunikyávaanha.xás ikxúrar tá kunthívtaapvunaa.vaa tá kunkôoha.xás taakrípaak kúuk tá kunívyiihma.káan tá kunvuhvúhiichvunaa.mâaka tá kunpakúriihvunaa.kári xás xás tá kun'av.koovúra kári kunikyámiichvunaa.imáankam tóo pvâaram pafatavéenaan.papikyávish tá púfaat.
"píshiich tá nu'ahíshriihvanva.pakúnish itharípriik vaa uum káan saripyêepshas.patuyshipnee'ípanich vaa uum káan saripkêemshas.vaa kumá'ii payêepshas pasárip itharípriik, aayâach vaa uum vâaramsas káru xúnutich.patuyshipnee'ípanich vasárip vaa uum ipshûunkinichas káru úruhsas.nanítaat mít kin'ípeentihat, "" tuyshipnee'ípanich uum saripkêemshas.""vaa mít kári uum nu'ahíshriihvutihatpúra fâat vúra kinípeentihatpayêem uum tá koo, tá púvaa kinkupítihara.",translate from karuk to english,"First we went and set fires. The best hazel twigs are those where it is sort of a fir forest. There are bad hazel twigs there on the hilltop. The hazel twigs are good in the fir forest for this reason, it is because they are long and flexible. The hazel twigs of the hilltop are short and stubby (lit., round). My mother used to tell us, ""They are bad hazel sticks on the hilltop."" We used to set fires (to encourage the growth of the brush). They (the government) didn't say anything to us. Now that's all over, we can't do that."
"First we went and set fires. The best hazel twigs are those where it is sort of a fir forest. There are bad hazel twigs there on the hilltop. The hazel twigs are good in the fir forest for this reason, it is because they are long and flexible. The hazel twigs of the hilltop are short and stubby (lit., round). My mother used to tell us, ""They are bad hazel sticks on the hilltop."" We used to set fires (to encourage the growth of the brush). They (the government) didn't say anything to us. Now that's all over, we can't do that.",translate from english to karuk,"píshiich tá nu'ahíshriihvanva.pakúnish itharípriik vaa uum káan saripyêepshas.patuyshipnee'ípanich vaa uum káan saripkêemshas.vaa kumá'ii payêepshas pasárip itharípriik, aayâach vaa uum vâaramsas káru xúnutich.patuyshipnee'ípanich vasárip vaa uum ipshûunkinichas káru úruhsas.nanítaat mít kin'ípeentihat, "" tuyshipnee'ípanich uum saripkêemshas.""vaa mít kári uum nu'ahíshriihvutihatpúra fâat vúra kinípeentihatpayêem uum tá koo, tá púvaa kinkupítihara."
"axakhárinay xás tá nústuk pasárip.pasárip tá kuníshtuukvunaa, kun'ipátsiiprinatih.payêem uum símsiim mûuk kunvúutvanaatih.pa'asiktávaansas uum kuníshtuukvanaatih.átimnam mûuk tá kunturúniihva.pa'ávansas uumkun tá kuníkvat.payêem uum tá kóo patur, chishíi mûuk uum tah.pasárip'atimnak pakuntúunfak.",translate from karuk to english,"Then after two years we picked the hazel twigs. They plucked the hazel twigs, they broke them with their fingernails. Now they cut them with a knife. The women picked them. They carried them down in burden baskets. (And) the men carried them on their shoulders. Now the use of burden baskets is all gone, it is with horses now. They carried them downhill in hazel-twig burden baskets."
"Then after two years we picked the hazel twigs. They plucked the hazel twigs, they broke them with their fingernails. Now they cut them with a knife. The women picked them. They carried them down in burden baskets. (And) the men carried them on their shoulders. Now the use of burden baskets is all gone, it is with horses now. They carried them downhill in hazel-twig burden baskets.",translate from english to karuk,"axakhárinay xás tá nústuk pasárip.pasárip tá kuníshtuukvunaa, kun'ipátsiiprinatih.payêem uum símsiim mûuk kunvúutvanaatih.pa'asiktávaansas uum kuníshtuukvanaatih.átimnam mûuk tá kunturúniihva.pa'ávansas uumkun tá kuníkvat.payêem uum tá kóo patur, chishíi mûuk uum tah.pasárip'atimnak pakuntúunfak."
xás kári tá nitháruf.vúha mûuk pakunthárufvanaatih.asiktávaansas káru vúra ávansas koovúra kunthárufvunaatih.hâari kunvûuksahinaatih.yáas nishuváxraahti imcháxahak.,translate from karuk to english,Then I peeled them. They peeled them with their teeth. All the men and women peeled them. Sometimes they had a work contest. Then I dried them in the sunshine.
Then I peeled them. They peeled them with their teeth. All the men and women peeled them. Sometimes they had a work contest. Then I dried them in the sunshine.,translate from english to karuk,xás kári tá nitháruf.vúha mûuk pakunthárufvanaatih.asiktávaansas káru vúra ávansas koovúra kunthárufvunaatih.hâari kunvûuksahinaatih.yáas nishuváxraahti imcháxahak.
papanyúrar tá nu'áhkoo.xás tá nústuk.kun'uumxávxaavtih.xás tá nusuváxrah.,translate from karuk to english,We burned the bear-lilies. Then we picked them. They pulled them up by the roots. Then we dried them.
We burned the bear-lilies. Then we picked them. They pulled them up by the roots. Then we dried them.,translate from english to karuk,papanyúrar tá nu'áhkoo.xás tá nústuk.kun'uumxávxaavtih.xás tá nusuváxrah.
yáas sárum nu'ûupvutih.vúra fátaak xás yáv u'íihya.yiimúsich xás pakuníkpaaksur.xás tá nuhíkurih.aah píshiich tá kuníkyav.xás káan tá kunihíkurih.xás yáas aah ávahkam tá kunpíkyav.yáas nuthatápaantih.xás iváxra tá núkyav.kári xás tá nupúthar.yáas nutáxviishtih.yáas nukyâasiprivti pavik.,translate from karuk to english,Then we dug pine roots. Some places (the trees) are good They cut them off some ways out (from the trunk). Then we roasted them. First they built a fire. Then they roasted them. Then they made another fire on top. Then we split them. Then we dried them. Then we soaked them. Then we scraped them. Then we began the weaving.
Then we dug pine roots. Some places (the trees) are good They cut them off some ways out (from the trunk). Then we roasted them. First they built a fire. Then they roasted them. Then they made another fire on top. Then we split them. Then we dried them. Then we soaked them. Then we scraped them. Then we began the weaving.,translate from english to karuk,yáas sárum nu'ûupvutih.vúra fátaak xás yáv u'íihya.yiimúsich xás pakuníkpaaksur.xás tá nuhíkurih.aah píshiich tá kuníkyav.xás káan tá kunihíkurih.xás yáas aah ávahkam tá kunpíkyav.yáas nuthatápaantih.xás iváxra tá núkyav.kári xás tá nupúthar.yáas nutáxviishtih.yáas nukyâasiprivti pavik.
ararayáfus uum vúra táfirapu ukyâarahitih.payáfus uum vúra yítha vúra pufíchmaan.xás vaa vúra kuniyxôorarivahitih.xás pamukuntántaav táfirapu ukyâarahitih.,translate from karuk to english,The Indian dress was made of buckskin. The dress was just one deerskin. And they were just wrapped in it. And their apron was made of buckskin.
The Indian dress was made of buckskin. The dress was just one deerskin. And they were just wrapped in it. And their apron was made of buckskin.,translate from english to karuk,ararayáfus uum vúra táfirapu ukyâarahitih.payáfus uum vúra yítha vúra pufíchmaan.xás vaa vúra kuniyxôorarivahitih.xás pamukuntántaav táfirapu ukyâarahitih.
xás pamukunyafusayêepsha vúra uum yâamach ukyâahahitih.píshiip panyúrar utaxapkóohitih.axyúus ukyâarahiti káru yuxtháran káru sápruuk ukyâarahitih.yuxtháran uum tûupichas utapakpákahitih.mukunyáfus puvâaramasahara.,translate from karuk to english,And their good dresses were made pretty. First bear-lily leaves were braided on. It was made with digger-pine nuts and abalone shell and it was made with olivella shells. The abalone shell was chopped up small. Their dresses were not long.
And their good dresses were made pretty. First bear-lily leaves were braided on. It was made with digger-pine nuts and abalone shell and it was made with olivella shells. The abalone shell was chopped up small. Their dresses were not long.,translate from english to karuk,xás pamukunyafusayêepsha vúra uum yâamach ukyâahahitih.píshiip panyúrar utaxapkóohitih.axyúus ukyâarahiti káru yuxtháran káru sápruuk ukyâarahitih.yuxtháran uum tûupichas utapakpákahitih.mukunyáfus puvâaramasahara.
pamukun'ápxaan ukyâarahiti sárip káru sárum.kunikxúrikarati panyúrar káru ikritápkir káru tíiptiip.xás patíiptiip uum aaxkúnish ukyâahitih.xás pamukun'ápxaan uum uvíkahiti pasárum mûuk káru papanyúrar káru peekritápkir káru patíiptiip.,translate from karuk to english,Their hats were made with hazel twigs and pine-roots. They were decorated with bear-lily leaves and five-finger fern and chain fern. And the chain fern was made red. And their hats were woven with the pine-roots and the bear-lily leaves and the five-finger fern and the chain fern.
Their hats were made with hazel twigs and pine-roots. They were decorated with bear-lily leaves and five-finger fern and chain fern. And the chain fern was made red. And their hats were woven with the pine-roots and the bear-lily leaves and the five-finger fern and the chain fern.,translate from english to karuk,pamukun'ápxaan ukyâarahiti sárip káru sárum.kunikxúrikarati panyúrar káru ikritápkir káru tíiptiip.xás patíiptiip uum aaxkúnish ukyâahitih.xás pamukun'ápxaan uum uvíkahiti pasárum mûuk káru papanyúrar káru peekritápkir káru patíiptiip.
pa'arara'asiktávaan uum ishváak uthúkinhahitih.kuyráak usasipúniihva yítha achipyâach xás xákararih.hâari tírihshas káru hâari vúra tûupichas kuynákmahich poosasipúniihva.,translate from karuk to english,"The Indian women were tattooed on the chin. There were three stripes running down, one right in the middle and (two) on each side. Sometimes they were wide and sometimes they were narrow, and sometimes they were each (composed of) three little ones running down."
"The Indian women were tattooed on the chin. There were three stripes running down, one right in the middle and (two) on each side. Sometimes they were wide and sometimes they were narrow, and sometimes they were each (composed of) three little ones running down.",translate from english to karuk,pa'arara'asiktávaan uum ishváak uthúkinhahitih.kuyráak usasipúniihva yítha achipyâach xás xákararih.hâari tírihshas káru hâari vúra tûupichas kuynákmahich poosasipúniihva.
"xás asayátha mûuk pakunikxúriktih.xás amyiv káru athkúrit ta kuníyshar, xás vaa tá kuniyvúruk pathúkinhak.xás patu'aráriihkanhaak xás pu'ikxáramkunishhara, kúnish ámkuufkunish.",translate from karuk to english,"And they made the design with a sharp stone. Then they mixed soot and grease, and they rubbed it on the tattoo. And when it healed, it was not black, it was sort of blue."
"And they made the design with a sharp stone. Then they mixed soot and grease, and they rubbed it on the tattoo. And when it healed, it was not black, it was sort of blue.",translate from english to karuk,"xás asayátha mûuk pakunikxúriktih.xás amyiv káru athkúrit ta kuníyshar, xás vaa tá kuniyvúruk pathúkinhak.xás patu'aráriihkanhaak xás pu'ikxáramkunishhara, kúnish ámkuufkunish."
xás pa'ôok va'áraaras pamukún'aav puthúkinhitihara.vúra páy nanuxákarari kích uum vaa kunkupítih.,translate from karuk to english,And the Indians here didn't tattoo their faces (above the chin). Only ones outside of our country did that.
And the Indians here didn't tattoo their faces (above the chin). Only ones outside of our country did that.,translate from english to karuk,xás pa'ôok va'áraaras pamukún'aav puthúkinhitihara.vúra páy nanuxákarari kích uum vaa kunkupítih.
Mister Gifford pishíich mít ka'tim'îin u'úumat.xás mít vaa káan asiktávaan uhróot.xás yáas ôok kun'áhoot.yáas nanítaat kuníhruv pikvah.xás yáas káru ánav.xás koovúra kumapírish úthvuuyva.xás yáas máruk tuyshípreek kunívyiihma.pínishtunvêech kun'ápimtih.xás kári ukôoha pa'asiktávaan.,translate from karuk to english,Mr. Gifford went first to Katimin. He hired a woman there. Then they came here. Then my mother was hired for story-telling. And then for medicine too. And she named all kinds of plants. And then they went up on the mountain. They were looking for plants. Then the woman (from Katimin) quit.
Mr. Gifford went first to Katimin. He hired a woman there. Then they came here. Then my mother was hired for story-telling. And then for medicine too. And she named all kinds of plants. And then they went up on the mountain. They were looking for plants. Then the woman (from Katimin) quit.,translate from english to karuk,Mister Gifford pishíich mít ka'tim'îin u'úumat.xás mít vaa káan asiktávaan uhróot.xás yáas ôok kun'áhoot.yáas nanítaat kuníhruv pikvah.xás yáas káru ánav.xás koovúra kumapírish úthvuuyva.xás yáas máruk tuyshípreek kunívyiihma.pínishtunvêech kun'ápimtih.xás kári ukôoha pa'asiktávaan.
xás námpaan nuxákaanha.káruk núvyiihship tínxuumnipaak.xás vaa káan nupíkva paasiktávaansas kóovan.xás ôok nupavyíhuk kúkuum.xás kári kúkuum vúra nupíkvaahvunaa.,translate from karuk to english,Then I myself went with him. We went upriver to Ferry Point. And the women there and I told stories. Then we came back here again. And we told stories again.
Then I myself went with him. We went upriver to Ferry Point. And the women there and I told stories. Then we came back here again. And we told stories again.,translate from english to karuk,xás námpaan nuxákaanha.káruk núvyiihship tínxuumnipaak.xás vaa káan nupíkva paasiktávaansas kóovan.xás ôok nupavyíhuk kúkuum.xás kári kúkuum vúra nupíkvaahvunaa.
xás yuh'aráriik núvyiihship.sápruuk nu'ífikanva.xás nupavyíhuk.,translate from karuk to english,Then we went to Crescent City. We went gathering olivella shells. Then we came back.
Then we went to Crescent City. We went gathering olivella shells. Then we came back.,translate from english to karuk,xás yuh'aráriik núvyiihship.sápruuk nu'ífikanva.xás nupavyíhuk.
"Ramona uum kêeks ukyâati óok.pamuyeenipaxvúhich Roberta payêem mú'iipma.kuyrakinivkihahárinay tóo krii.kúmateech xasík pakun'áveesh pamukéeks.uumkun vúra kícheesh.puxích kúnish upáthriihtih, víri puxútihap "" kíri nupêer paaxíitichas ' ôok kóova nu'am.'""",translate from karuk to english,"Ramona is here making a cake. Today is her little girl Roberta's birthday. She's eight years (old). Later today they will eat her cake. It will just be them (i.e., the family). It's sort of raining hard, so they don't want to ask the (neighbor's) children to eat here with them."
"Ramona is here making a cake. Today is her little girl Roberta's birthday. She's eight years (old). Later today they will eat her cake. It will just be them (i.e., the family). It's sort of raining hard, so they don't want to ask the (neighbor's) children to eat here with them.",translate from english to karuk,"Ramona uum kêeks ukyâati óok.pamuyeenipaxvúhich Roberta payêem mú'iipma.kuyrakinivkihahárinay tóo krii.kúmateech xasík pakun'áveesh pamukéeks.uumkun vúra kícheesh.puxích kúnish upáthriihtih, víri puxútihap "" kíri nupêer paaxíitichas ' ôok kóova nu'am.'"""
"kuyûum amkúfkaam.naa nixúti "" Herbert u'aahkôoti patáhpuus.""hári tá mít ukpákishrihat pa'ípaha.",translate from karuk to english,There's a big (lot of) smoke just downriver. I think Herbert is burning fir boughs. He cut down a tree sometime (recently).
There's a big (lot of) smoke just downriver. I think Herbert is burning fir boughs. He cut down a tree sometime (recently).,translate from english to karuk,"kuyûum amkúfkaam.naa nixúti "" Herbert u'aahkôoti patáhpuus.""hári tá mít ukpákishrihat pa'ípaha."
"káruk íp nifyúkutihat ítam.xás ipvárakirak panini'ahtákni pamuyukúku íp umátnuusat.víri kárivari káan utháaniv.víri peenvári payêem upikyâatih.púyava panipkárahaak payêem káruk kúna ni'árihroovish, niptakníhareesh.",translate from karuk to english,"Earlier today I was going around upriver. And on the way back down from upriver, my tire burst. (The car) is still sitting there. Ben Wilder is fixing it now. When I go back across-river now, I'll go upriver, I'll go drive back."
"Earlier today I was going around upriver. And on the way back down from upriver, my tire burst. (The car) is still sitting there. Ben Wilder is fixing it now. When I go back across-river now, I'll go upriver, I'll go drive back.",translate from english to karuk,"káruk íp nifyúkutihat ítam.xás ipvárakirak panini'ahtákni pamuyukúku íp umátnuusat.víri kárivari káan utháaniv.víri peenvári payêem upikyâatih.púyava panipkárahaak payêem káruk kúna ni'árihroovish, niptakníhareesh."
utíshraamhitih.,translate from karuk to english,It is a valley.
It is a valley.,translate from english to karuk,utíshraamhitih.
víri vaa káan ípaha u'íihya.,translate from karuk to english,There is a tree standing there.
There is a tree standing there.,translate from english to karuk,víri vaa káan ípaha u'íihya.
"káru ávansa káan uhyárih, úksuupkuti pa'ípaha.",translate from karuk to english,"And a man is standing there, he is pointing at the tree."
"And a man is standing there, he is pointing at the tree.",translate from english to karuk,"káru ávansa káan uhyárih, úksuupkuti pa'ípaha."
kúkuum vúra víri payêem áxak pa'ávansa.,translate from karuk to english,Now again there are two men.
Now again there are two men.,translate from english to karuk,kúkuum vúra víri payêem áxak pa'ávansa.
víri vaa vúra yítha úksuupkuti pa'ípaha.,translate from karuk to english,There is one pointing at the tree.
There is one pointing at the tree.,translate from english to karuk,víri vaa vúra yítha úksuupkuti pa'ípaha.
"víri payêem kuyraak tah, pa'ávansa.",translate from karuk to english,Now by this time there are three men.
Now by this time there are three men.,translate from english to karuk,"víri payêem kuyraak tah, pa'ávansa."
káru yítha úkviipti mukún'aavkam.,translate from karuk to english,And one is running in front of them.
And one is running in front of them.,translate from english to karuk,káru yítha úkviipti mukún'aavkam.
víri vaa vúra úksuupkuti pa'ípaha.,translate from karuk to english,There is (one) pointing at the tree.
There is (one) pointing at the tree.,translate from english to karuk,víri vaa vúra úksuupkuti pa'ípaha.
"kúkuum vúra vaa vúra káan uhyárih, vaa vúra úksuuptih.",translate from karuk to english,"Again he is standing there like that, he is pointing like that."
"Again he is standing there like that, he is pointing like that.",translate from english to karuk,"kúkuum vúra vaa vúra káan uhyárih, vaa vúra úksuuptih."
vaa vúra payítha kári úkviipti mú'aavkam.,translate from karuk to english,The one is still running in front of him like that.
The one is still running in front of him like that.,translate from english to karuk,vaa vúra payítha kári úkviipti mú'aavkam.
"víri vaa vúra kári pákuyraak, káan kun'iruvêehriv.",translate from karuk to english,There are the three still standing there like that.
There are the three still standing there like that.,translate from english to karuk,"víri vaa vúra kári pákuyraak, káan kun'iruvêehriv."
xás vúra vaa úksuuptih pa'ávansa.,translate from karuk to english,The man is pointing like that.
The man is pointing like that.,translate from english to karuk,xás vúra vaa úksuuptih pa'ávansa.
"xás payêem áxak tá kunsaam, pakun'iruvêehriv.",translate from karuk to english,And now two remain standing.
And now two remain standing.,translate from english to karuk,"xás payêem áxak tá kunsaam, pakun'iruvêehriv."
xás vaa vúra úksuuptih.,translate from karuk to english,(One) is pointing like that.
(One) is pointing like that.,translate from english to karuk,xás vaa vúra úksuuptih.
xás vaa vúra úkviipti pa'ávansa mú'aavkam.,translate from karuk to english,The man is running in front of him like that.
The man is running in front of him like that.,translate from english to karuk,xás vaa vúra úkviipti pa'ávansa mú'aavkam.
"payêem asiktávaan peehyárihan, úksuupkutih pa'ípaha.",translate from karuk to english,"Now a woman is the one standing, she is pointing at the tree."
"Now a woman is the one standing, she is pointing at the tree.",translate from english to karuk,"payêem asiktávaan peehyárihan, úksuupkutih pa'ípaha."
payêem asiktávaan peehyárihan.,translate from karuk to english,Now a woman is the one standing.
Now a woman is the one standing.,translate from english to karuk,payêem asiktávaan peehyárihan.
ifunihaxárahsas.,translate from karuk to english,She is long-haired.
She is long-haired.,translate from english to karuk,ifunihaxárahsas.
xás uum káru úksuupkutih pa'ípaha.,translate from karuk to english,She too is pointing at the tree.
She too is pointing at the tree.,translate from english to karuk,xás uum káru úksuupkutih pa'ípaha.
xás mupîimach uhyárih.,translate from karuk to english,Next to her a man is standing.
Next to her a man is standing.,translate from english to karuk,xás mupîimach uhyárih.
"pa'asiktávaan vaa vúra káan uhyárih, vaa vúra úksuuptih.",translate from karuk to english,"The woman is standing there like that, she is pointing like that."
"The woman is standing there like that, she is pointing like that.",translate from english to karuk,"pa'asiktávaan vaa vúra káan uhyárih, vaa vúra úksuuptih."
víri payêem áxak pa'ávansas.,translate from karuk to english,There are two men now.
There are two men now.,translate from english to karuk,víri payêem áxak pa'ávansas.
"vaa vúra káan pa'asiktávaan uhyárih, víri vaa vúra úksuuptih.",translate from karuk to english,"The woman is standing like that, there she is pointing like that."
"The woman is standing like that, there she is pointing like that.",translate from english to karuk,"vaa vúra káan pa'asiktávaan uhyárih, víri vaa vúra úksuuptih."
xás pa'ávansa úkviipti mú'aavkam.,translate from karuk to english,The man is running in front of her.
The man is running in front of her.,translate from english to karuk,xás pa'ávansa úkviipti mú'aavkam.
vaa vúra káan kári uhyárih.,translate from karuk to english,She is still standing there like that.
She is still standing there like that.,translate from english to karuk,vaa vúra káan kári uhyárih.
vaa vúra pa'ávansa úkviipti mú'aavkam.,translate from karuk to english,The man is running in front of her like that.
The man is running in front of her like that.,translate from english to karuk,vaa vúra pa'ávansa úkviipti mú'aavkam.
káru yítha pa'ávansa mupîimach uhyárih.,translate from karuk to english,And one man is standing next to her.
